01/Aug/2024 17:38:29 - Script started
01/Aug/2024 17:38:29 - Arguments parsed. Interface: lo, Filter: 
01/Aug/2024 17:38:29 - Starting packet capture on lo with filter ''
01/Aug/2024 17:38:42 - 127.0.0.1 - - [01/Aug/2024 17:38:42] "127.0.0.1:34560 -> 127.0.0.1:8000" 404 -
01/Aug/2024 17:38:42 - 127.0.0.1 - - [01/Aug/2024 17:38:42] "127.0.0.1:34560 -> 127.0.0.1:8000" 404 -
01/Aug/2024 17:38:42 - 127.0.0.1 - - [01/Aug/2024 17:38:42] "127.0.0.1:8000 -> 127.0.0.1:34560" 404 -
01/Aug/2024 17:38:42 - 127.0.0.1 - - [01/Aug/2024 17:38:42] "127.0.0.1:8000 -> 127.0.0.1:34560" 404 -
01/Aug/2024 17:38:42 - 127.0.0.1 - - [01/Aug/2024 17:38:42] "127.0.0.1:34560 -> 127.0.0.1:8000" 404 -
01/Aug/2024 17:38:42 - 127.0.0.1 - - [01/Aug/2024 17:38:42] "127.0.0.1:34560 -> 127.0.0.1:8000" 404 -
01/Aug/2024 17:38:42 - 127.0.0.1 - - [01/Aug/2024 17:38:42] "127.0.0.1:34560 -> 127.0.0.1:8000" 200 -
01/Aug/2024 17:38:42 - 127.0.0.1 - - [01/Aug/2024 17:38:42] "127.0.0.1:34560 -> 127.0.0.1:8000" 200 -
01/Aug/2024 17:38:42 - 127.0.0.1 - - [01/Aug/2024 17:38:42] "127.0.0.1:8000 -> 127.0.0.1:34560" 404 -
01/Aug/2024 17:38:42 - 127.0.0.1 - - [01/Aug/2024 17:38:42] "127.0.0.1:8000 -> 127.0.0.1:34560" 404 -
01/Aug/2024 17:38:42 - 127.0.0.1 - - [01/Aug/2024 17:38:42] "127.0.0.1:8000 -> 127.0.0.1:34560" 200 -
01/Aug/2024 17:38:42 - 127.0.0.1 - - [01/Aug/2024 17:38:42] "127.0.0.1:8000 -> 127.0.0.1:34560" 200 -
01/Aug/2024 17:38:42 - 127.0.0.1 - - [01/Aug/2024 17:38:42] "127.0.0.1:34560 -> 127.0.0.1:8000" 404 -
01/Aug/2024 17:38:42 - 127.0.0.1 - - [01/Aug/2024 17:38:42] "127.0.0.1:34560 -> 127.0.0.1:8000" 404 -
01/Aug/2024 17:38:42 - 127.0.0.1 - - [01/Aug/2024 17:38:42] "127.0.0.1:8000 -> 127.0.0.1:34560" 200 -
01/Aug/2024 17:38:42 - 127.0.0.1 - - [01/Aug/2024 17:38:42] "127.0.0.1:8000 -> 127.0.0.1:34560" 200 -
01/Aug/2024 17:38:42 - 127.0.0.1 - - [01/Aug/2024 17:38:42] "127.0.0.1:34560 -> 127.0.0.1:8000" 404 -
01/Aug/2024 17:38:42 - 127.0.0.1 - - [01/Aug/2024 17:38:42] "127.0.0.1:34560 -> 127.0.0.1:8000" 404 -
01/Aug/2024 17:38:42 - 127.0.0.1 - - [01/Aug/2024 17:38:42] "127.0.0.1:8000 -> 127.0.0.1:34560" 404 -
01/Aug/2024 17:38:42 - 127.0.0.1 - - [01/Aug/2024 17:38:42] "127.0.0.1:8000 -> 127.0.0.1:34560" 404 -
01/Aug/2024 17:38:42 - 127.0.0.1 - - [01/Aug/2024 17:38:42] "127.0.0.1:34560 -> 127.0.0.1:8000" 404 -
01/Aug/2024 17:38:42 - 127.0.0.1 - - [01/Aug/2024 17:38:42] "127.0.0.1:34560 -> 127.0.0.1:8000" 404 -
01/Aug/2024 17:38:42 - 127.0.0.1 - - [01/Aug/2024 17:38:42] "127.0.0.1:8000 -> 127.0.0.1:34560" 404 -
01/Aug/2024 17:38:42 - 127.0.0.1 - - [01/Aug/2024 17:38:42] "127.0.0.1:8000 -> 127.0.0.1:34560" 404 -
01/Aug/2024 17:38:42 - 127.0.0.1 - - [01/Aug/2024 17:38:42] "127.0.0.1:34570 -> 127.0.0.1:8000" 404 -
01/Aug/2024 17:38:42 - 127.0.0.1 - - [01/Aug/2024 17:38:42] "127.0.0.1:34570 -> 127.0.0.1:8000" 404 -
01/Aug/2024 17:38:42 - 127.0.0.1 - - [01/Aug/2024 17:38:42] "127.0.0.1:8000 -> 127.0.0.1:34570" 404 -
01/Aug/2024 17:38:42 - 127.0.0.1 - - [01/Aug/2024 17:38:42] "127.0.0.1:8000 -> 127.0.0.1:34570" 404 -
01/Aug/2024 17:38:42 - 127.0.0.1 - - [01/Aug/2024 17:38:42] "127.0.0.1:34570 -> 127.0.0.1:8000" 404 -
01/Aug/2024 17:38:42 - 127.0.0.1 - - [01/Aug/2024 17:38:42] "127.0.0.1:34570 -> 127.0.0.1:8000" 404 -
01/Aug/2024 17:38:42 - 127.0.0.1 - - [01/Aug/2024 17:38:42] "127.0.0.1:34570 -> 127.0.0.1:8000" 200 -
01/Aug/2024 17:38:42 - 127.0.0.1 - - [01/Aug/2024 17:38:42] "127.0.0.1:34570 -> 127.0.0.1:8000" 200 -
01/Aug/2024 17:38:42 - 127.0.0.1 - - [01/Aug/2024 17:38:42] "127.0.0.1:8000 -> 127.0.0.1:34570" 404 -
01/Aug/2024 17:38:42 - 127.0.0.1 - - [01/Aug/2024 17:38:42] "127.0.0.1:8000 -> 127.0.0.1:34570" 404 -
01/Aug/2024 17:38:42 - 127.0.0.1 - - [01/Aug/2024 17:38:42] "127.0.0.1:8000 -> 127.0.0.1:34570" 200 -
01/Aug/2024 17:38:42 - 127.0.0.1 - - [01/Aug/2024 17:38:42] "127.0.0.1:8000 -> 127.0.0.1:34570" 200 -
01/Aug/2024 17:38:42 - 127.0.0.1 - - [01/Aug/2024 17:38:42] "127.0.0.1:34570 -> 127.0.0.1:8000" 404 -
01/Aug/2024 17:38:42 - 127.0.0.1 - - [01/Aug/2024 17:38:42] "127.0.0.1:34570 -> 127.0.0.1:8000" 404 -
01/Aug/2024 17:38:42 - 127.0.0.1 - - [01/Aug/2024 17:38:42] "127.0.0.1:8000 -> 127.0.0.1:34570" 200 -
01/Aug/2024 17:38:42 - 127.0.0.1 - - [01/Aug/2024 17:38:42] "127.0.0.1:8000 -> 127.0.0.1:34570" 200 -
01/Aug/2024 17:38:42 - 127.0.0.1 - - [01/Aug/2024 17:38:42] "127.0.0.1:34570 -> 127.0.0.1:8000" 404 -
01/Aug/2024 17:38:42 - 127.0.0.1 - - [01/Aug/2024 17:38:42] "127.0.0.1:34570 -> 127.0.0.1:8000" 404 -
01/Aug/2024 17:38:42 - 127.0.0.1 - - [01/Aug/2024 17:38:42] "127.0.0.1:8000 -> 127.0.0.1:34570" 404 -
01/Aug/2024 17:38:42 - 127.0.0.1 - - [01/Aug/2024 17:38:42] "127.0.0.1:8000 -> 127.0.0.1:34570" 404 -
01/Aug/2024 17:38:42 - 127.0.0.1 - - [01/Aug/2024 17:38:42] "127.0.0.1:34570 -> 127.0.0.1:8000" 404 -
01/Aug/2024 17:38:42 - 127.0.0.1 - - [01/Aug/2024 17:38:42] "127.0.0.1:34570 -> 127.0.0.1:8000" 404 -
01/Aug/2024 17:38:42 - 127.0.0.1 - - [01/Aug/2024 17:38:42] "127.0.0.1:8000 -> 127.0.0.1:34570" 404 -
01/Aug/2024 17:38:42 - 127.0.0.1 - - [01/Aug/2024 17:38:42] "127.0.0.1:8000 -> 127.0.0.1:34570" 404 -
01/Aug/2024 17:38:43 - 127.0.0.1 - - [01/Aug/2024 17:38:43] "127.0.0.1:34572 -> 127.0.0.1:8000" 404 -
01/Aug/2024 17:38:43 - 127.0.0.1 - - [01/Aug/2024 17:38:43] "127.0.0.1:34572 -> 127.0.0.1:8000" 404 -
01/Aug/2024 17:38:43 - 127.0.0.1 - - [01/Aug/2024 17:38:43] "127.0.0.1:8000 -> 127.0.0.1:34572" 404 -
01/Aug/2024 17:38:43 - 127.0.0.1 - - [01/Aug/2024 17:38:43] "127.0.0.1:8000 -> 127.0.0.1:34572" 404 -
01/Aug/2024 17:38:43 - 127.0.0.1 - - [01/Aug/2024 17:38:43] "127.0.0.1:34572 -> 127.0.0.1:8000" 404 -
01/Aug/2024 17:38:43 - 127.0.0.1 - - [01/Aug/2024 17:38:43] "127.0.0.1:34572 -> 127.0.0.1:8000" 404 -
01/Aug/2024 17:38:43 - 127.0.0.1 - - [01/Aug/2024 17:38:43] "127.0.0.1:34572 -> 127.0.0.1:8000" 200 -
01/Aug/2024 17:38:43 - 127.0.0.1 - - [01/Aug/2024 17:38:43] "127.0.0.1:34572 -> 127.0.0.1:8000" 200 -
01/Aug/2024 17:38:43 - 127.0.0.1 - - [01/Aug/2024 17:38:43] "127.0.0.1:8000 -> 127.0.0.1:34572" 404 -
01/Aug/2024 17:38:43 - 127.0.0.1 - - [01/Aug/2024 17:38:43] "127.0.0.1:8000 -> 127.0.0.1:34572" 404 -
01/Aug/2024 17:38:43 - 127.0.0.1 - - [01/Aug/2024 17:38:43] "127.0.0.1:8000 -> 127.0.0.1:34572" 200 -
01/Aug/2024 17:38:43 - 127.0.0.1 - - [01/Aug/2024 17:38:43] "127.0.0.1:8000 -> 127.0.0.1:34572" 200 -
01/Aug/2024 17:38:43 - 127.0.0.1 - - [01/Aug/2024 17:38:43] "127.0.0.1:34572 -> 127.0.0.1:8000" 404 -
01/Aug/2024 17:38:43 - 127.0.0.1 - - [01/Aug/2024 17:38:43] "127.0.0.1:34572 -> 127.0.0.1:8000" 404 -
01/Aug/2024 17:38:43 - 127.0.0.1 - - [01/Aug/2024 17:38:43] "127.0.0.1:8000 -> 127.0.0.1:34572" 200 -
01/Aug/2024 17:38:43 - 127.0.0.1 - - [01/Aug/2024 17:38:43] "127.0.0.1:8000 -> 127.0.0.1:34572" 200 -
